"","PC1","PC2","PC3","PC4","PC5"
"Shrub cover",-0.59883958087365,0.206609347477072,-0.221495621739461,0.14931507490539,-0.726187601016719
"Flooded forest cover",-0.063841461763387,-0.809088779142345,-0.113012294343762,0.572612976217219,-0.0253419813882255
"Herbaceous vegetation cover",-0.582147654938516,0.24420853431722,-0.261905364252891,0.258676339971999,0.682611478756747
"Deciduous broadleaf forest cover",-0.252379214994256,0.0837637411382436,0.924525529928985,0.272953998397099,0.00608496326812559
"Evergreen broadleaf forest cover",0.484483502121027,0.485833049964912,-0.12176220909009,0.713023178986058,-0.077549303030097
