ID,genus,species,genus_species,country,state,locality,latitude,longitude,georeference_status
MTR20541,Anolis,auratus,Anolis_auratus,Brazil,RR,EE_Maraca_trilha_lateral_aterro,3.3578,-61.4318,Accurate_from_collector
MTR20754,Anolis,auratus,Anolis_auratus,Venezuela,Bolivar,Quebrada_de_Jaspe,4.8829,-61.0938,Accurate_from_collector
PHV4109,Anolis,brasiliensis,Anolis_brasiliensis,Brazil,GO,Monte_Alegre_de_Goias_Serra_da_Prata,,,
MTR18923,Anolis,chrysolepis,Anolis_chrysolepis,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Approximate_from_collector
MTR06249,Anolis,chrysolepis,Anolis_chrysolepis,Brazil,AP,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,Approximate_from_collector
BM260,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,PA,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,Approximate_from_collector
BM261,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,PA,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,Approximate_from_collector
BM527,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,PA,Belo_Monte_Anapu_site_A,-3.0919,-51.7772,Accurate_from_collector
BM690,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,PA,Belo_Monte_Anapu_site_B,-3.498,-51.6777,Accurate_from_collector
H0805,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Caicara_mergem_esquerda,-9.4413,-64.8519,Approximate_from_collector
H0879,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,Approximate_from_collector
H1888,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Caicara_mergem_esquerda,-9.4413,-64.8519,Approximate_from_collector
H1964,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Caicara_mergem_esquerda,-9.4413,-64.8519,Accurate_from_collector
H4108,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,Accurate_from_collector
H4109,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Abuna_margem_direita,-9.5975,-65.3674,Accurate_from_collector
H4113,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,Approximate_from_collector
H4137,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Abuna_margem_direita,-9.5975,-65.3674,Approximate_from_collector
HJ0174,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,Accurate_from_collector
JFT726,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,ES,Santa_Teresa,-19.9654,-40.531,Approximate_from_collector
LSUMZH12538,Anolis,fuscoauratus,Anolis_fuscoauratus,Ecuador,Sucumbios,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,Approximate_from_online_source
LSUMZH12545,Anolis,fuscoauratus,Anolis_fuscoauratus,Ecuador,Sucumbios,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,Approximate_from_online_source
LSUMZH14094,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,Accurate_from_collector
LSUMZH14327,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,PA,Belterra_Agropecuaria_Treviso_LTDA,-3.1467,-54.8296,Accurate_from_collector
LSUMZH15471,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RO,Nova_Mamore_PE_Guajara_Mirim,-10.3167,-64.55,Approximate_from_collector
MTR06037,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,BA,Jussari_Serra_do_Teimoso,-15.1547,-39.5233,Approximate_from_collector
MTR06262,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AP,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,Approximate_from_collector
MTR06329,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AP,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,Approximate_from_collector
MTR12159,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,ES,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Approximate_from_online_source
MTR12298,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,ES,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Approximate_from_online_source
MTR12860,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Accurate_from_collector
MTR13088,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Pacamiri_Rio_Abacaxis,-4.5969,-58.2206,Accurate_from_collector
MTR13253,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Maruim_Rio_Abacaxis,-4.3089,-58.6364,Accurate_from_collector
MTR13628,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,BA,Camacan_Fazenda_Sao_Carlos,-15.3799,-39.5424,Accurate_from_collector
MTR18729,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Approximate_from_collector
MTR18813,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Approximate_from_collector
MTR18816,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Accurate_from_collector
MTR18870,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Approximate_from_collector
MTR18994,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Approximate_from_collector
MTR19062,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Accurate_from_collector
MTR19178,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Approximate_from_collector
MTR19188,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Approximate_from_collector
MTR19231,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Accurate_from_collector
MTR20711,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Pacaraima,4.4955,-61.1686,Accurate_from_collector
MTR20736,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Pacaraima,4.4955,-61.1686,Accurate_from_collector
MTR20738,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Pacaraima,4.4955,-61.1686,Accurate_from_collector
MTR21992,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,BA,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,Approximate_from_collector
MTR22009,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,BA,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,Accurate_from_collector
MTR23059,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Approximate_from_collector
MTR23096,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Approximate_from_collector
MTR23120,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Accurate_from_collector
MTR23155,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Accurate_from_collector
MTR23156,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Accurate_from_collector
MTR24119,Anolis,fuscoauratus,Anolis_fuscoauratus,Brazil,AP,Oiapoque,3.8794,-51.771,Approximate_from_collector
