              reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
PRMS538         2954785                2291404                2350096                 680957                2632537                    35                    273207              2681543
PRMS587         2884079                2134157                2231591                 707993                2586809                    27                    214655              2669397
PRMS589         2721697                2035700                2111134                 712728                2602253                    33                    213471              2508193
PRMS700         2999939                2292768                2351897                 766567                2749198                    41                    271913              2727985
PRMS751         3144314                2286064                2392345                 851761                2676015                    27                    157780              2986507
PRMS767         3055428                2260278                2327955                 797505                2761877                    34                    253626              2801768
PRMS769         2713581                1844060                1959342                 701266                2210911                    26                    129722              2583833
PRMS796         2571730                1723140                1829631                 685697                2178522                    26                    119811              2451893
PRMS845         2967678                2246087                2322778                 826100                2837346                    35                    249404              2718239
PRMS859         2872094                2152108                2239332                 741624                2507046                    33                    222273              2649788
RF23            3328400                2556036                2656943                 842802                3057023                    32                    287879              3040489
SMS473          4762964                3886708                3986032                1228084                4543670                    52                    467181              4295731
SMS941          3331296                2586076                2680516                 884021                3048486                    33                    284157              3047106
