              reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
BLANK2            23677                  12691                  17377                   3694                  23357                     1                      5393                18283
BM261           4064277                3223356                3328558                1100472                5837237                    34                    316152              3748091
BM690           4093791                3409316                3473905                 898464                5437869                    36                    514271              3579484
CAS178111       4105461                3705049                3763251                 834181                5331853                    25                   1079186              3026250
H0879           4312827                3792055                3837086                 849277                5967281                    37                    733428              3579362
H1964           3178305                2401814                2503528                 736120                4290687                    30                    253269              2925006
H4109           2163981                1482250                1536708                 488429                2646362                    16                    114185              2049780
H4137           4255879                3491780                3577583                1026769                5964042                    49                    488697              3767133
HJ0313          1114979                 709837                 738539                 233365                1210019                     6                     55891              1059082
JJS490          2966850                1885494                2059752                 771737                3572170                    31                     92574              2874245
LSUMZH12538a    3576106                2867104                2932216                 707184                4458751                    47                    422539              3153520
LSUMZH12545b    3014370                2215555                2281871                 618196                3577345                    27                    288378              2725965
LSUMZH14099     3894847                3095808                3161923                 864150                5141440                    35                    422982              3471830
LSUMZH14327b    1842929                1155216                1208510                 389168                1960332                    19                     96416              1746494
MTR01679        3956065                3282890                3354874                 815989                5264026                    32                    463097              3492936
MTR06249        4206112                3503608                3567795                 761011                4837973                    39                    498433              3707640
MTR06329        3536207                2869487                2958389                 835545                5145510                    32                    397007              3139168
MTR12298        3565625                2939868                2979600                 733161                4396641                    30                    311434              3254161
MTR13088        4035791                3344306                3420419                 902235                5456814                    35                    552124              3483632
MTR13628        2976011                2250521                2337554                 671699                3824288                    38                    159666              2816307
MTR18813        3509000                2894237                2955332                 775319                4883581                    35                    383004              3125961
MTR18870        4292430                3709174                3780621                1060458                6563314                    50                    657015              3635365
MTR18994        4234322                3717004                3755186                 854943                5615614                    32                    770198              3464092
MTR19178        4015997                3399250                3448104                 823643                5304032                    25                    573490              3442482
MTR19231        3935789                3226071                3296016                 811318                5219169                    38                    390385              3545366
MTR20736        3790232                3158635                3224217                 814725                5314203                    46                    500258              3289928
MTR20754        3635477                2957013                3011114                 726515                4844563                    43                    318126              3317308
MTR22009        3924812                3278593                3342584                 754193                5017085                    34                    515185              3409593
MTR23096        3930547                3232941                3298880                 833844                5152790                    34                    478127              3452386
MTR23155        3438276                2570279                2659986                 793261                4233211                    39                    178692              3259545
MTR24119        3940292                3205220                3267056                 807731                5019989                    32                    468896              3471364
MTR24167        3898733                3207584                3269115                 785707                5115963                    31                    510114              3388588
