              reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
MTR25537        3876154                3268366                3339173                 889559                5596579                    22                    528644              3347488
MTR25597        4214920                3600397                3643999                 878764                5813298                    44                    578903              3635973
MTR25668        4214161                3506475                3591337                1029337                6272112                    40                    538273              3675848
MTR25978        2898595                1959874                2081208                 724312                3390873                    35                    103153              2795407
MTR25985        3499764                2696235                2798320                 801618                4867484                    32                    290240              3209492
MTR28056        3787419                3080259                3166479                 842979                5080785                    39                    382609              3404771
MTR28201        4834378                4139674                4195340                 923966                6435463                    38                    759192              4075148
MTR28368        4280943                3582645                3641668                 911490                5572610                    55                    494945              3785943
MTR28392        4012076                3326259                3394372                 845460                5578240                    42                    520187              3491847
MTR28413        3810699                3129186                3197941                 738581                4888290                    29                    366794              3443876
MTR28534        3970190                3408601                3464825                 789346                5464087                    40                    665879              3304271
MTR28538        4038972                3342220                3393686                 875105                5320212                    37                    534392              3504543
MTR28564        4610461                3912284                3972570                 930039                5904115                    41                    644129              3966291
MTR28576        3814907                3194228                3239882                 770342                5165714                    30                    543415              3271462
MTR28578        4117509                3480463                3525742                 854504                5446215                    43                    583691              3533775
MTR28680        3632901                2878725                2950988                 797304                4886245                    35                    282325              3350541
MTR33061        3445273                2781688                2863867                 729569                4523361                    33                    363104              3082136
MTR33431        4169309                3605352                3662276                 843612                5921245                    30                    752909              3416370
MTR33486        7320972                5437029                5580733                1463133                8684218                    71                    614160              6706741
MTR33729        3877660                3123643                3179465                 965664                5234475                    35                    358557              3519068
MTR34236        3065263                2367691                2435038                 597307                3706064                    36                    217312              2847915
MTR34395        3642549                2880721                2982477                 779635                4832434                    26                    356252              3286271
MTR34501        3644651                2989231                3043484                 733418                4450526                    28                    372999              3271624
MTR35000        3948038                3278356                3335380                 785611                5167087                    34                    494383              3453621
MTR35697        3587305                2716013                2838729                 808437                4752071                    23                    269642              3317640
MTR35702        4029988                3274296                3351068                 838953                5291197                    40                    348131              3681817
MTR35709        3854633                2895993                2995457                 883502                4811905                    31                    217966              3636636
MTR35895        3567073                2877932                2934404                 788683                4896834                    37                    351042              3215994
MTR35939        3932718                3280504                3345352                 802159                4998735                    31                    474981              3457706
MTR36074        4057027                3585261                3629715                 776374                5448449                    38                    724414              3332575
MTR36139        4039539                3474197                3526847                 810431                5404340                    32                    597421              3442086
MTR36477        4119189                3529941                3585023                 837350                5605100                    28                    569852              3549309
MTR36731        4471290                3763392                3841366                 964201                6152329                    35                    630008              3841247
MTR36746        3817093                3182931                3255466                 919174                5434436                    32                    506371              3310690
MTR36859        3312738                2586778                2665415                 774041                4390815                    36                    296077              3016625
MTR36939        3858675                3112268                3195944                 871623                5228094                    45                    395457              3463173
MTR36941        3973123                3295530                3348841                 864186                5278512                    29                    511997              3461097
MTR36971        4319815                3596495                3653565                 958738                5769101                    51                    506943              3812821
MTR37287        4394218                3686076                3744309                 854056                5376290                    36                    480932              3913250
MTR40040        3770185                3410188                3448349                 894347                5634859                    35                    516773              3253377
MTR40243        3706686                2973937                3086158                 963070                5217877                    40                    369263              3337383
MTR40382        4382767                3621383                3685176                 910251                5662547                    45                    570899              3811823
MTR40904        4228871                3479180                3562542                 975686                5785467                    48                    569075              3659748
MTR40916        4265729                3600542                3658907                 865528                5604907                    36                    561954              3703739
MTR41431        4200917                3387331                3480246                 934671                5684961                    34                    500539              3700344
MTR41563        3992944                3318597                3382900                 839624                5339089                    37                    470146              3522761
MTR977706       5173455                4370001                4442964                1047623                6686446                    44                    700588              4472823
PHV4109         3945739                3271292                3330441                 918334                5258222                    32                    435337              3510370
PRMS499         4097278                3328066                3392395                 865534                5497785                    32                    436299              3660947
PRMS525         3921474                3080493                3178023                 911757                5197415                    31                    372870              3548573
PRMS530         3557484                2860741                2915559                 771392                4610901                    39                    333795              3223650
PRMS539         3271784                2377485                2491702                 798350                4305282                    36                    188408              3083340
PRMS588         4018064                3298737                3360305                 788378                5258315                    29                    490537              3527498
PRMS590         3662831                2926665                3021759                 798052                5116921                    29                    390673              3272129
PRMS734         3259441                2593556                2664913                 768502                4468597                    33                    356962              2902446
PRMS766         8861451                6982251                7134764                1898116               11324598                    79                    979112              7882260
PRMS768         8801793                6398195                6668823                2124163               11105162                   100                    541799              8259894
PRMS795         7372974                5639891                5772050                1632060                9431745                    89                    731952              6640933
PRMS799         3505768                2423533                2567448                 784925                4128670                    35                    186785              3318948
PRMS852         3424939                2539839                2650013                 786961                4483028                    32                    229374              3195533
PRMS860         4136208                3428926                3500055                 968390                5753642                    43                    544808              3591357
RF73            3576274                3034986                3107923                 829887                5032818                    32                    500755              3075487
SMS608          3488884                2813240                2898592                 782281                4705043                    28                    394575              3094281
SMS963          3813209                3184691                3238097                 768259                5083402                    28                    533930              3279251
