             clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
BLANK1                 3334              2686                0               15           633   116543     114        0.00098
BLANK2                 4418              3530                6               19           863   116539     176        0.00151
BM260                703127            629339              442             2444         70902  6671959   87711        0.01315
BM261                778477            691399              510             2565         84003  7782812   94998        0.01221
BM527                508200            442448              329             1978         63445  5900694   80970        0.01372
BM690                687136            606595              313             2285         77943  6905029   92275        0.01336
CAS178101            464612            414089              117             1370         49036  3879279   75096        0.01936
CAS178111            465069            401145              141             1409         62374  4808376   82804        0.01722
CORBIDI5457          643208            542844              587             1838         97939  9910158  103089        0.01040
H0805                533024            493266              367             1967         37424  4765716   47223        0.00991
H0879                574980            496421              266             1830         76463  6447247   85168        0.01321
H1888                644526            586496              290             2027         55713  5230622   74318        0.01421
H1964                669143            597484              360             2223         69076  6551177   84998        0.01297
H3705                503133            462349              747             2968         37069  6408215   51975        0.00811
H4108                639764            575806              525             2579         60854  6864992   83272        0.01213
H4109                600017            553331              311             1825         44550  4942118   52495        0.01062
H4113                584493            517659              291             1999         64544  5822565   81744        0.01404
H4137                763374            680350              368             2429         80227  7174906   92493        0.01289
HJ0174               677800            634255              259             1928         41358  3920579   60768        0.01550
HJ0313               365153            347458              157             1184         16354  1917627   28538        0.01488
JFT726               639661            585401              270             2120         51870  4834766   67093        0.01388
JJS490               894909            828217              380             3200         63112  6599449   85599        0.01297
LSUMZH12538a         742378            669488              347             2250         70293  6196645   85707        0.01383
LSUMZH12538b         574569            545954              327             1912         26376  3335885   42860        0.01285
LSUMZH12545a         621649            559269              310             2024         60046  5596237   80802        0.01444
LSUMZH12545b         736060            671493              355             2284         61928  5870610   77614        0.01322
LSUMZH14094          644597            573401              355             2085         68756  6339644   84620        0.01335
LSUMZH14099          823223            736650              330             2274         83969  7457447  110437        0.01481
LSUMZH14327a         585914            525307              398             2019         58190  5706728   78085        0.01368
LSUMZH14327b         594674            558884              321             1790         33679  3866459   47311        0.01224
LSUMZH15471          685453            621475              351             2189         61438  5712751   78501        0.01374
MTR01679             519817            435510              431             1954         81922  7825817   76960        0.00983
MTR04529             600058            496975              143              960        101980  8824841   50530        0.00573
MTR06037             628235            551643              314             2409         73869  7131220   83009        0.01164
MTR06249             579742            492867              411             1999         84465  8308909   85222        0.01026
MTR06262             709158            632447              340             2294         74077  6850837   89366        0.01304
MTR06329             650665            572366              311             2056         75932  6745592   87566        0.01298
MTR12159             505613            457110              214             1819         46470  4132097   62100        0.01503
MTR12298             569961            506845              240             2104         60772  5349568   71990        0.01346
MTR12860             683041            624913              304             2022         55802  5000715   72156        0.01443
MTR13088             710604            630815              293             2213         77283  6716745   87421        0.01302
MTR13253             474762            415889              192             1589         57092  4872938   69232        0.01421
MTR13628             516841            447493              360             1989         66999  6699518   76895        0.01148
MTR18729             494277            411682              291             1982         80322  7262408   99143        0.01365
MTR18813             469077            389086              371             2236         77384  7360780   97333        0.01322
MTR18816             533602            475748              234             1740         55880  4860274   72536        0.01492
MTR18870             660567            590736              255             2399         67177  5867747   91614        0.01561
MTR18923             548450            485013              297             2400         60740  5838159   68694        0.01177
MTR18994             589137            510305              197             1918         76717  6436038   87383        0.01358
MTR19062             523940            453808              223             1735         68174  5813521   82009        0.01411
MTR19178             684713            605033              267             2106         77307  6664355   87824        0.01318
MTR19188             651677            580072              282             2035         69288  6232200   85157        0.01366
MTR19231             723025            638809              372             2312         81532  7339105   96356        0.01313
MTR20541             535227            441730              925             1832         90740 10388745   64043        0.00616
MTR20711             624107            544003              398             2281         77425  7443731   90665        0.01218
MTR20736             600696            521581              312             1868         76935  6710877   84779        0.01263
MTR20738             638176            568006              396             2168         67606  6304581   80135        0.01271
MTR20754             497545            417117              501             1454         78473  7833926   56101        0.00716
MTR21992             603558            545736              213             2033         55576  4918498   68494        0.01393
MTR22009             670196            599787              239             2216         67954  5851689   76353        0.01305
