"country","state","locality","latitude","longitude","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6"
"Brazil","AC","Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia",-7.8639,-72.417,1,0,0,0,0,0
"Brazil","AC","Cruzeiro_do_Sul_Vila_de_Sao_Pedro",-7.7014,-72.7413,0.99,0,0,0,0,0
"Brazil","AC","Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas",-7.3857,-73.0627,0.96,0.03,0,0,0.01,0
"Brazil","AC","Mancio_Lima_Estrada_do_Lixao",-7.6813,-72.9688,1,0,0,0,0,0
"Brazil","AC","Porto_Acre_Reserva_Florestal_Humaita",-9.7445,-67.6784,0,0,1,0,0,0
"Brazil","AC","Rio_Branco_Parque_Zoobotanico",-9.9561,-67.8725,0,0,1,0,0,0
"Brazil","AC","Senador_Guiomard_Fazenda_Experimental_Catuaba",-10.0834,-67.6278,0,0,1,0,0,0
"Brazil","AC","Serra_do_Divisor_face_Oeste",-7.5031,-73.7208,1,0,0,0,0,0
"Brazil","AC","Serra_do_Divisor_Pe_da_Serra",-7.4398,-73.6594,1,0,0,0,0,0
"Brazil","AM","Alvaraes",-3.2103,-64.8053,0.25,0.02,0.09,0.64,0,0
"Brazil","AM","Boca_do_Acre_ramal_bode_preto",-9.005,-67.1815,0.02,0,0.98,0,0,0
"Brazil","AM","Boca_do_Acre_ramal_Cruzeirinho",-8.7598,-67.3089,0.01,0,0.99,0,0,0
"Brazil","AM","Cacauali",-1.4325,-61.8267,0,0,0,1,0,0
"Brazil","AM","Coari",-4.0868,-63.0968,0,0,0.06,0.94,0,0
"Brazil","AM","FLONA_Humaita_Igarape_Buiussu",-7.616,-62.8833,0,0.72,0.28,0,0,0
"Brazil","AM","Fonte_Boa",-2.528,-66.162,0.04,0,0.01,0.95,0,0
"Brazil","AM","Itapiranga",-2.7434,-58.1763,0,0,0,1,0,0
"Brazil","AM","Labrea_Rio_Ituxi_Madeirera_Scheffer",-8.3464,-65.7161,0.19,0.43,0.38,0,0,0
"Brazil","AM","Lago_Chaviana_Itapuru_margem_direita_Rio_Purus",-4.3094,-61.8148,0.08,0,0.02,0.9,0,0
"Brazil","AM","Maruim_Sao_Sebastiao_Rio_Abacaxis",-4.3089,-58.6364,0,0.09,0,0.86,0.01,0.04
"Brazil","AM","Maturaca",0.6251,-66.1329,0,0.01,0,0.01,0.97,0.01
"Brazil","AM","Moiobamba_margem_direita_Rio_Purus",-4.7251,-62.1318,0.02,0,0.01,0.96,0,0
"Brazil","AM","Pacamiri_Rio_Abacaxis",-4.5969,-58.2206,0,0.08,0,0.92,0,0
"Brazil","AM","Rio_Ica_Acai",-2.9049,-68.3398,0,0,0,1,0,0
"Brazil","AM","Rio_Ica_Comunidade_Cachoeirinha",-2.8842,-68.3499,0,0,0,1,0,0
"Brazil","AM","Rio_Ica_Comunidade_Cuiaua",-2.8836,-68.3677,0,0,0,1,0,0
"Brazil","AM","Rio_Ica_Sao_Pedro",-3.0286,-68.8826,0.06,0,0,0.94,0.01,0
"Brazil","AM","Rio_Inhambu",-0.2334,-65.4168,0,0,0,0,1,0
"Brazil","AM","Sao_Sebastiao_dos_Bargas",-3.7894,-59.034,0,0,0,0.31,0.44,0.25
"Brazil","AM","Silves",-2.8308,-58.2154,0.14,0,0.01,0.78,0.04,0.03
"Brazil","AM","Tefe",-3.449,-64.6831,0.07,0,0.01,0.92,0,0
"Brazil","AP","Oiapoque",3.8794,-51.771,0,0.03,0,0,0.49,0.47
"Brazil","AP","Rio_Maraca_Igarape_Camaipi",-0.0242,-51.8972,0.1,0,0,0.32,0.41,0.17
"Brazil","BA","Barrolandia_EE_Gregorio_Bondar_CEPLAN",-16.0942,-39.2157,0.01,0,0,0,0,0.99
"Brazil","BA","Camacan_Fazenda_Sao_Carlos",-15.3799,-39.5424,0,0,0,0,0,1
"Brazil","BA","Canavieiras",-15.6805,-38.9965,0,0,0,0,0,1
"Brazil","BA","Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG",-13.5785,-39.7086,0,0,0,0,0,1
"Brazil","BA","Ilheus",-14.7972,-39.0344,0,0,0,0,0,1
"Brazil","BA","Itapebi_Fazenda_Boa_Sorte",-15.89,-39.5308,0,0,0,0,0,1
"Brazil","BA","Jussari_Serra_do_Teimoso",-15.1547,-39.5233,0,0,0,0,0,1
"Brazil","BA","PE_serra_do_Conduru",-14.4967,-39.1336,0,0,0,0,0,1
"Brazil","BA","Porto_Seguro_Estacao_Veracel",-16.3539,-39.1351,0,0,0,0,0,1
"Brazil","BA","Santa_Maria_Eterna_Lagoa_do_Jacare",-15.936,-39.5266,0.02,0,0.04,0,0,0.94
"Brazil","ES","Linhares_Floresta_Nacional_de_Goytacazes",-19.4483,-40.0804,0,0,0,0,0,1
"Brazil","ES","Santa_Teresa",-19.9654,-40.531,0,0,0,0,0,1
"Brazil","MT","Aripuana",-9.8603,-60.2631,0.02,0.59,0.06,0.32,0,0
"Brazil","PA","Belo_Monte_Anapu_site_A",-3.0919,-51.7772,0,0,0,1,0,0
"Brazil","PA","Belo_Monte_Anapu_site_B",-3.498,-51.6777,0.04,0,0,0.96,0,0
"Brazil","PA","Belo_Monte_Vitoria_do_Xingu",-3.3244,-51.8587,0.04,0.14,0,0.83,0,0
"Brazil","PA","Belterra_Agropecuaria_Treviso_LTDA",-3.1467,-54.8296,0.05,0.21,0,0.73,0,0
"Brazil","PA","Itaituba_FLONA_do_Trairao_Ramal_do_80",-4.5251,-55.2401,0,1,0,0,0,0
"Brazil","RO","Nova_Mamore_PE_Guajara_Mirim",-10.3167,-64.55,0.07,0.75,0.18,0,0,0
"Brazil","RO","PN_Pacaas_Novos",-10.7692,-63.6225,0,1,0,0,0,0
"Brazil","RO","PN_Pacaas_Novos_base_Jaci",-10.5275,-63.9734,0.02,0.96,0.02,0,0,0
"Brazil","RO","Porto_Velho_Abuna_margem_direita",-9.5975,-65.3674,0,0.65,0.35,0,0,0
"Brazil","RO","Porto_Velho_Abuna_margem_esquerda",-9.6421,-65.4471,0.1,0.15,0.68,0.06,0.02,0
"Brazil","RO","Porto_Velho_Caicara_margem_esquerda",-9.4413,-64.8519,0.16,0.29,0.55,0,0,0
"Brazil","RO","Porto_Velho_Mutum_margem_direita",-9.6162,-65.0456,0.18,0.52,0.26,0,0.05,0
"Brazil","RR","Iracema_Serra_do_Apiau",2.4334,-61.4138,0,0,0,0,1,0
"Brazil","RR","Pacaraima",4.4955,-61.1686,0,0,0,0,1,0
"Brazil","RR","Serra_da_Maroquinha",2.3714,-61.376,0,0,0,0,1,0
"Ecuador","SU","Reserva_Faunistica_Cuyabeno_Neotropic_Turis",-0.2172,-75.8069,0,0,0,1,0,0
