Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,ID,cluster_assign,state,country,locality,latitude,longitude,dewlap_group,plot_order
0.07,0.16,0,0.77,0,0,BM260,Cluster_4,PA,Brazil,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,P,75
0,0.11,0,0.89,0,0,BM261,Cluster_4,PA,Brazil,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,P,76
0,0,0,1,0,0,BM527,Cluster_4,PA,Brazil,Belo_Monte_Anapu_site_A,-3.0919,-51.7772,U,74
0.04,0,0,0.96,0,0,BM690,Cluster_4,PA,Brazil,Belo_Monte_Anapu_site_B,-3.498,-51.6777,U,73
0.14,0.62,0.24,0,0,0,H0879,Cluster_2,RO,Brazil,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,U,152
0.11,0.25,0.63,0.01,0,0,H1888,Cluster_3,RO,Brazil,Porto_Velho_Caicara_margem_esquerda,-9.4413,-64.8519,U,145
0.22,0.32,0.46,0,0,0,H1964,Cluster_3,RO,Brazil,Porto_Velho_Caicara_margem_esquerda,-9.4413,-64.8519,U,146
0.12,0.12,0.6,0.12,0.04,0.01,H4108,Cluster_3,RO,Brazil,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,P,143
0.07,0.17,0.76,0,0,0,H4113,Cluster_3,RO,Brazil,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,P,142
0,0.65,0.35,0,0,0,H4137,Cluster_2,RO,Brazil,Porto_Velho_Abuna_margem_direita,-9.5975,-65.3674,P,153
0.21,0.42,0.27,0,0.1,0.01,HJ0174,Cluster_2,RO,Brazil,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,U,151
0,0,0,0,0,1,JFT726,Cluster_6,ES,Brazil,Santa_Teresa,-19.9654,-40.531,Y,31
0,0,0,1,0,0,LSUMZH12538a,Cluster_4,SU,Ecuador,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,P,82
0,0,0,1,0,0,LSUMZH12545b,Cluster_4,SU,Ecuador,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,P,81
0.19,0.43,0.38,0,0,0,LSUMZH14094,Cluster_2,AM,Brazil,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,U,144
0.05,0.21,0,0.73,0,0,LSUMZH14327a,Cluster_4,PA,Brazil,Belterra_Agropecuaria_Treviso_LTDA,-3.1467,-54.8296,U,72
0.07,0.75,0.18,0,0,0,LSUMZH15471,Cluster_2,RO,Brazil,Nova_Mamore_PE_Guajara_Mirim,-10.3167,-64.55,U,150
0,0,0,0,0,1,MTR06037,Cluster_6,BA,Brazil,Jussari_Serra_do_Teimoso,-15.1547,-39.5233,U,24
0.2,0,0,0.25,0.39,0.15,MTR06262,Cluster_5,AP,Brazil,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,G,1
0,0,0,0.38,0.43,0.19,MTR06329,Cluster_5,AP,Brazil,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,G,2
0,0,0,0,0,1,MTR12159,Cluster_6,ES,Brazil,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Y,29
0,0,0,0,0,1,MTR12298,Cluster_6,ES,Brazil,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Y,30
0,0.09,0,0.84,0.02,0.06,MTR12860,Cluster_4,AM,Brazil,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Y,70
0,0.08,0,0.92,0,0,MTR13088,Cluster_4,AM,Brazil,Pacamiri_Rio_Abacaxis,-4.5969,-58.2206,U,69
0,0.09,0,0.88,0,0.02,MTR13253,Cluster_4,AM,Brazil,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Y,71
0,0,0,0,0,1,MTR13628,Cluster_6,BA,Brazil,Camacan_Fazenda_Sao_Carlos,-15.3799,-39.5424,U,25
0,0,0.01,0.99,0,0,MTR18729,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,58
0.12,0,0.01,0.87,0,0,MTR18813,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,57
0,0,0.03,0.97,0,0,MTR18816,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,56
0.22,0,0.02,0.76,0,0,MTR18870,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,59
0.03,0,0.01,0.96,0,0,MTR18994,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,65
0,0,0,1,0,0,MTR19062,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,63
0.07,0,0,0.93,0,0,MTR19178,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,64
